商品名,税抜売上額,累積税抜売上額,売上構成比,累積売上構成比,クラス,総買上数,UU数,顧客カード番号リスト,リピート率,購入ユーザー買上額,ロイヤルカスタマー買上数,ロイヤルカスタマー複数買上数
"フレアフレグランス　ＩＲＯＫＡ　ＥＳ　本体",2386.000,153965887.000,0.000,0.950,C,3,2,"[8800212007330768, 8800211030867787]",0.333,42236.000,0,0
"クリーンデンタル歯ブラシ〈やわらかめ〉　",2380.000,154020683.000,0.000,0.950,C,3,2,"[8800212007341476, 8800211012325309, None]",0.333,40780.000,0,0
"ラ・ボン柔軟剤入り洗剤　詰替　シャンパーンムーン",2379.000,154030202.000,0.000,0.950,C,5,4,"[None, 8800211033099412, 8800212007689271, 880...",0.200,39304.000,0,0
"ＭＤ　ボリュームマスカラＳ",2378.000,154042095.000,0.000,0.951,C,4,3,"[8800212007790695, 8800211108147547, 880021103...",0.250,50849.000,0,0
"メイバランスＭｉｎｉ　カップ　ブルーベリーＹＧ味",2374.000,154065851.000,0.000,0.951,C,6,5,"[8800212007624720, 8800213000821217, None, 880...",0.167,89013.000,0,0
"ポイズライナーさらさら吸水スリム　安心の少量用",2352.000,154203158.000,0.000,0.952,C,5,3,"[8800211007247720, 8800212007243284, 880021100...",0.400,21008.000,0,0
"ポイズ肌ケアパッド軽快ライト〈２８枚〉",2349.000,154217260.000,0.000,0.952,C,3,2,"[8800212007788823, 8800212007381444]",0.333,29601.000,0,0
"ラックス美容液Ｓパーマカムバックフォームつめかえ",2231.000,154700099.000,0.000,0.955,C,4,2,"[8800211028316076, 8800211031318844]",0.500,40111.000,0,0
"ＱＰ・Ｙ３−１３　やわらかおかずうなたま",2201.000,154868414.000,0.000,0.956,C,3,2,"[8800211033126944, None, 8800211028349587]",0.333,37349.000,0,0
"バスクリン・きき湯　〈食塩炭酸湯〉詰替　",2184.000,154964951.000,0.000,0.956,C,2,1,"[8800215000204892, None]",0.500,36284.000,0,0
"阿蘇製薬・ジキバンＳ〈４８粒〉",2182.000,154991140.000,0.000,0.956,C,2,1,"[None, 8800211007666404]",0.500,6205.000,0,0
"レグスリム着圧ソックス　おやすみ用　ＭＬ",2160.000,155095457.000,0.000,0.957,C,2,1,"[8800221000343976]",0.500,28235.000,0,0
"フリスククリーンブレス　ボトル　ストロングミント",2159.000,155106256.000,0.000,0.957,C,3,1,"[8800212007695939, None]",0.667,20944.000,0,0
"ＷＩＮ・防水フィルムパッド付〈Ｌ〉３枚入",2144.000,155144965.000,0.000,0.957,C,3,2,"[8800211016478120, None, 8800211028356504]",0.333,58942.000,0,0
"ユウキ製薬・徳用　なた豆茶１００〈５０包〉",2142.000,155170684.000,0.000,0.957,C,5,3,"[8800212007696287, 8800211028200692, 880021200...",0.400,43825.000,0,0
"消臭プラグ本体お試し　ホワイトフローラル",2141.000,155174967.000,0.000,0.958,C,4,3,"[None, 8800211001556744, 8800212007751528, 880...",0.250,36270.000,0,0
"サロンドプロ無香料ヘアカラー早染めクリーム　５Ａ　",2139.000,155192085.000,0.000,0.958,C,2,1,"[None, 8800212007782404]",0.500,3710.000,0,0
"小久保・樹液力〈２枚〉",2134.000,155211317.000,0.000,0.958,C,4,3,"[8800211014694412, 8800212000744009, 880021102...",0.250,26996.000,0,0
"オフテクス・ミエルピュール〈３６０ｍｌ〉",2093.000,155362975.000,0.000,0.959,C,2,1,"[None, 8800212007376504]",0.500,21706.000,0,0
"モモリ　しっとりまとまるヘアクリーム",2093.000,155367161.000,0.000,0.959,C,2,1,"[None, 8800212007269036]",0.500,36728.000,0,0
"マース・カルカンドライ　まぐろと野菜味",2092.000,155381809.000,0.000,0.959,C,2,1,"[8800211028223192, None]",0.500,38023.000,0,0
"マース・カルカンドライ毛玉ケアかつおとチキン",2091.000,155409000.000,0.000,0.959,C,3,2,"[8800211028223192, 8800211031251501]",0.333,50038.000,0,0
"サナ・なめらか本舗ジェル美容液マスク　　",2077.000,155458975.000,0.000,0.959,C,2,1,"[8800212007235092, None]",0.500,25615.000,0,0
"ＣＭ　パウダリースポンジＭＶ",2000.000,155719700.000,0.000,0.961,C,4,3,"[8800211035417168, 8800212007231860, 880021103...",0.250,68831.000,0,0
"ヤングビーナス　Ｃ−１０　　　　　　　",2000.000,155781700.000,0.000,0.961,C,2,1,"[8800212007686012]",0.500,10605.000,0,0
"新オールＰ　　　　　　　　　　　　　　　",1987.000,155959326.000,0.000,0.962,C,4,1,"[8800211028320484, None]",0.750,8121.000,0,0
"マックス・無添加はちみつ生石けん　〈８０ｇ〉",1978.000,156052491.000,0.000,0.963,C,5,1,"[None, 8800211000397820]",0.800,13014.000,0,0
"薬用リフレッシングローション〈２８５ｍｌ〉",1954.000,156207714.000,0.000,0.964,C,7,5,"[8800211018290444, 8800211003478704, 880021103...",0.286,22487.000,0,0
"メイバランスＭｉｎｉフルーツオレ１２５ｍｌ",1939.000,156269944.000,0.000,0.964,C,4,2,"[8800212007624720, 8800212007772504]",0.500,17076.000,0,0
"チャームナップ　夜でも安心用〈２０枚〉",1914.000,156318067.000,0.000,0.965,C,2,1,"[8800211031323501]",0.500,28735.000,0,0
"ファンテユンケル３Ｂドリンク　〈１００ｍｌ×３〉",1880.000,156498157.000,0.000,0.966,C,3,1,"[None, 8800211016578671]",0.667,17922.000,0,0
"やわやか歯間ブラシ　ＳＳＳＳ－ＳＳ　２０本",1879.000,156501916.000,0.000,0.966,C,6,5,"[8800212005990044, 8800211031306776, 880021200...",0.167,111712.000,0,0
"ユウキ・ＳＰ　コラーゲンプラセンタ＆ヒアルロン酸",1868.000,156526252.000,0.000,0.966,C,2,1,"[8800211031334768]",0.500,4156.000,0,0
"ガムメディカルドロップレモン味〈２０粒〉",1829.000,156690534.000,0.000,0.967,C,2,1,"[8800211022751284]",0.500,11805.000,0,0
"お部屋のスッキーリ〈ハローキティの香り〉　",1820.000,156723401.000,0.000,0.967,C,3,2,"[8800211033176904, 8800211031323501, None]",0.333,68209.000,0,0
"パルスイートカロリーゼロ　液体タイプ〈６００ｇ〉",1809.000,156786913.000,0.000,0.967,C,2,1,"[8800211023817068]",0.500,30914.000,0,0
"ペット用ウェットシート　８０枚ｘ３",1785.000,157232480.000,0.000,0.970,C,3,2,"[None, 8800211033181292, 8800211028276312]",0.333,49824.000,0,0
"サラ　コンデカロヤカＲ",1777.000,157294830.000,0.000,0.971,C,3,2,"[8800212004974963, 8800211011181968]",0.333,31242.000,0,0
"無添加アロエ生石けん　〈８０ｇ〉",1777.000,157298384.000,0.000,0.971,C,6,5,"[8800212007343460, 8800212002328292, None, 880...",0.167,46857.000,0,0
"チ）ライフリーさわやかパット長時間夜でも安心",1672.000,157616737.000,0.000,0.973,C,4,3,"[8800212007606352, 8800211028364795, None, 880...",0.250,37740.000,0,0
"コパテクト",1671.000,157620080.000,0.000,0.973,C,2,1,"[None, 8800212007623360]",0.500,19300.000,0,0
"オンダ・プラケン〈ＰＵＲＡＫＥＮ〉",1637.000,157735910.000,0.000,0.973,C,4,3,"[8800211028299463, 8800212007300417, 880021102...",0.250,63432.000,0,0
"シエロ　ムースカラー　〈４〉",1596.000,157970627.000,0.000,0.975,C,2,1,"[8800212004844344]",0.500,5492.000,0,0
"あじかん・国産黒豆ごぼう茶〈１８包〉　　",1595.000,157972222.000,0.000,0.975,C,2,1,"[8800211028306452]",0.500,15978.000,0,0
"フレアＦミスト　詰替　フローラル＆スウィート",1545.000,158153412.000,0.000,0.976,C,5,4,"[8800212008868731, 8800211028301117, 880021102...",0.200,64800.000,0,0
"小久保・高麗人参　樹液力シート〈２枚入〉",1392.000,158936395.000,0.000,0.981,C,4,3,"[8800212007762328, None, 8800211014694412, 880...",0.250,52844.000,0,0
"アドグッド・エコグッド　ふろ水洗浄剤〈２０錠〉",1382.000,158971036.000,0.000,0.981,C,3,2,"[8800211028289655, None, 8800212007211409]",0.333,21998.000,0,0
"お部屋の消臭力　Ｐ・Ａ〈ルミナスノーブル〉",1378.000,159011058.000,0.000,0.981,C,3,2,"[8800211033086628, None, 8800211028333912]",0.333,33855.000,0,0
"シエロ　コーミングカバー〈ダークブラウン〉",1329.000,159160359.000,0.000,0.982,C,2,1,"[8800212007759655]",0.500,20905.000,0,0
"パンテーンミープレミアムダメージリペアＣＤ詰替",1320.000,159196159.000,0.000,0.982,C,2,1,"[8800212007278687]",0.500,39163.000,0,0
"ＷＩＮ・抗菌伸縮包帯〈Ｓ〉３．８ｃｍ×６ｍ",1263.000,159423777.000,0.000,0.984,C,4,2,"[8800211033841360, 8800211107903798, None]",0.500,10209.000,0,0
"グレードジェル〈クリーンリネン〉",1217.000,159545464.000,0.000,0.984,C,5,3,"[8800211028272436, None, 8800211033125301, 880...",0.400,28112.000,0,0
"ちふれ　クレンジングオイル詰替用",1200.000,159659549.000,0.000,0.985,C,3,2,"[None, 8800211031311992, 8800211012258276]",0.333,54551.000,0,0
"兼松・くいしんぼ　角切りビーフ＆野菜",1185.000,159895046.000,0.000,0.987,C,10,1,"[8800212008868179]",0.900,34600.000,0,0
"ＤＸ　ＯＤオードルックス",1120.000,160054070.000,0.000,0.988,C,2,1,"[8800211019063268]",0.500,7809.000,0,0
"セペ・お肌にやさしいナプキン〈２８枚〉",1103.000,160113920.000,0.000,0.988,C,4,3,"[8800212007399747, 8800211028209436, 880021103...",0.250,36502.000,0,0
"アイボリーソープ　３コバンドル　アロエ",1072.000,160218447.000,0.000,0.989,C,3,2,"[8800212102565602, 8800211028211492]",0.333,8363.000,0,0
"ペーパーシート　ポケピタ",1067.000,160232369.000,0.000,0.989,C,3,1,"[8800211104169104, None]",0.667,28260.000,0,0
"スペーシアゴールド内服液",1066.000,160235568.000,0.000,0.989,C,4,3,"[8800290000071852, 8800211028394495, 880021102...",0.250,54380.000,0,0
"フロッシュ食器用洗剤　ブラッドオレンジ",1031.000,160298391.000,0.000,0.989,C,2,1,"[8800211033132317, None]",0.500,22198.000,0,0
"ネスレ・モンプチリュクスバッグ毛玉ケア",1026.000,160312794.000,0.000,0.989,C,2,1,"[8800212007334736]",0.500,29642.000,0,0
"ロケット・カビスッキリハーブスプレー　付替用",1021.000,160323014.000,0.000,0.989,C,6,5,"[8800211019146528, None, 8800212007293704, 880...",0.167,58974.000,0,0
"ＱＰ・やさしい献立Ｙ４−３　なめらか野菜コーン",1020.000,160328114.000,0.000,0.989,C,2,1,"[8800212007252001, None]",0.500,8994.000,0,0
"ぽかぽか家族貼る靴下用　１５個　ＰＫＮ－１５ＨＫ",995.000,160459142.000,0.000,0.990,C,4,2,"[8800211021304609, 8800212007774587]",0.500,21311.000,0,0
"ピッタマスク　子供用",994.000,160470080.000,0.000,0.990,C,3,1,"[8800211020893060, None]",0.667,10766.000,0,0
"ポリデント入歯安定剤ふきとりドライシート",994.000,160476044.000,0.000,0.990,C,2,1,"[8800211033848771]",0.500,26345.000,0,0
"ＱＰ・やさしい献立Ｙ４−１　なめらか野菜にんじん",993.000,160481011.000,0.000,0.990,C,2,1,"[8800212007252001, None]",0.500,8994.000,0,0
"栄養マルシェ　牛肉おこわランチ",980.000,160533179.000,0.000,0.991,C,2,1,"[None, 8800211028338320]",0.500,37760.000,0,0
"アイセン・ＢＱかかとやすり　ピンク",923.000,160678939.000,0.000,0.991,C,4,2,"[8800212007228536, 8800212007686012]",0.500,22877.000,0,0
"小顔にみえマスク〈ふつう〉ケース付　６枚",921.000,160693696.000,0.000,0.992,C,2,1,"[8800212003955512, None]",0.500,10405.000,0,0
"リポビタンファイン　〈１００ｍｌ×３〉　",856.000,160943337.000,0.000,0.993,C,2,1,"[8800211028360452]",0.500,6709.000,0,0
"ＭＰＢＯＸ　７種のブレンド〈小魚入り〉　",851.000,160956141.000,0.000,0.993,C,3,1,"[8800212008869631]",0.667,9536.000,0,0
"ぷるんと蒟蒻ゼリースタンディング　洋梨",784.000,161162350.000,0.000,0.994,C,4,3,"[8800212007257336, None, 8800212007606076, 880...",0.250,32093.000,0,0
"小久保工業所・速攻冷却",750.000,161261378.000,0.000,0.995,C,2,1,"[8800212007755687, None]",0.500,20956.000,0,0
"ネイルホリックアート　０８０",720.000,161322984.000,0.000,0.995,C,3,1,"[8800211033092836, None]",0.667,11254.000,0,0
"ミツカンごま豆乳鍋つゆストレート",719.000,161325141.000,0.000,0.995,C,3,1,"[8800212007696287]",0.667,37396.000,0,0
"らくらく服薬ゼリー　スティック",715.000,161336592.000,0.000,0.996,C,2,1,"[8800211031316768, None]",0.500,39597.000,0,0
"もぐカミファイバー梅おかか味　２０Ｇ　",714.000,161345160.000,0.000,0.996,C,2,1,"[8800211028343076]",0.500,12241.000,0,0
"ＰＲ　トライアルセットＮ　ＤＢＲ",602.000,161553084.000,0.000,0.997,C,4,2,"[8800211028336060, 8800212007266987, None]",0.500,21959.000,0,0
"綾花　ブライトアップリキッドＦＤ４スポンジ",600.000,161585503.000,0.000,0.997,C,2,1,"[8800212007377128]",0.500,10195.000,0,0
"オリヒロ・ＮＬティー１００％　イチョウ葉茶",592.000,161618843.000,0.000,0.997,C,2,1,"[8800211033198228]",0.500,2993.000,0,0
"グーグーキッチン　煮込みハンバーグ（豆腐入り）",586.000,161630605.000,0.000,0.997,C,4,3,"[8800211028264152, 8800211028365320, None, 880...",0.250,73512.000,0,0
"和）飲みたいぶんだけ　粉末アクアライト",577.000,161637578.000,0.000,0.997,C,3,2,"[8800211023340225, 8800211031333217]",0.333,47066.000,0,0
"ＵＨＡ味覚糖・ＤＮＳグミ　ＺＭＡ　　　　",500.000,161748727.000,0.000,0.998,C,2,1,"[8800212007755220]",0.500,2242.000,0,0
"ポカスリスエットイオンウォーターパウダー　ＳＴ",476.000,161786121.000,0.000,0.998,C,2,1,"[8800211033140884]",0.500,24041.000,0,0
"むらさきいもソフトキャラメル",471.000,161798439.000,0.000,0.998,C,3,2,"[8800212007380912, None, 8800211101625729]",0.333,7504.000,0,0
"サワデーハッピー〈パルファム・アンジェブラン〉",453.000,161823232.000,0.000,0.999,C,3,2,"[8800212007624444, 8800211101038272]",0.333,41206.000,0,0
"ネイルホリックファー　０７１",360.000,161914428.000,0.000,0.999,C,3,1,"[8800211033092836]",0.667,11254.000,0,0
"いなば・ＣＩＡＯ乳酸菌かつお白身かつおだし仕立て",254.000,162008383.000,0.000,1.000,C,2,1,"[8800212007272452]",0.500,13375.000,0,0
"ナショナル・パナ　ボタン電池　１ＰＬＲ４３Ｐ",181.000,162042839.000,0.000,1.000,C,2,1,"[None, 8800211032729979]",0.500,13998.000,0,0
"お薬屋さんの紀州梅＆赤穂塩飴〈４８ｇ〉　",148.000,162049239.000,0.000,1.000,C,4,2,"[8800212002648528, 8800212007390444]",0.500,5638.000,0,0
"マース・カルカンＰ１５歳かつおしらす",116.000,162056366.000,0.000,1.000,C,2,1,"[8800211028312844]",0.500,7385.000,0,0
